subject,body,sender_display,sender_email,reply_to,spf,dkim,dmarc,attachments,has_html,num_recipients,label,family,noisy_label
[Microsoft] Vérification de connexion,"Madame, Monsieur,

Une nouvelle connexion à votre compte a été détectée depuis Madrid le 4/05/2026.

Si c'était bien vous, aucune action n'est nécessaire. Dans le cas contraire, sécurisez votre compte depuis l'application ou sur https://microsoft.com/fr/aide/security.

L'équipe Microsoft",Microsoft,no-reply@microsoft.com,contact@microsoft.com,pass,pass,pass,,0,1,0,legit_security,0
[Microsoft] Vérification de connexion,"Bonjour,

Une nouvelle connexion à votre compte a été détectée depuis Madrid le 24/08/2026.

Si c'était bien vous, aucune action n'est nécessaire. Dans le cas contraire, sécurisez votre compte depuis l'application ou sur https://microsoft.com/orders/security.

L'équipe Microsoft",Microsoft,notifications@microsoft.com,,pass,pass,pass,,1,1,0,legit_security,0
-20% sur votre prochaine commande,"Cher client,

Profitez de nos offres exclusives réservées à nos clients fidèles. Jusqu'à -20% sur une sélection de produits.

Découvrir les offres : https://spotify.com/compte/offres

Offre valable jusqu'à la fin du mois. Se désabonner : https://spotify.com/orders/unsubscribe

Spotify",Spotify,no-reply@spotify.com,,none,fail,none,,0,1,0,marketing,0
Réinitialisation de votre mot de passe Linkedin,"Cher utilisateur,

Nous avons détecté une connexion inhabituelle à votre compte. Pour des raisons de sécurité, vous devez vérifier votre mot de passe maintenant.

Cliquez ici pour réinitialiser : https://linkedin-france.icu/track

Si vous n'agissez pas sous 48h, votre compte sera verrouillé.

L'équipe de sécurité Linkedin",Linkedin Service,support@1inkedin.ga,reply@client-13.cf,none,none,fail,,1,1,1,reset,1
Votre compte Netflix a été limité,"Cher client,

Nous avons temporairement limité votre compte suite à une activité inhabituelle. Pour rétablir l'accès complet, confirmez vos informations.

Vérifiez votre compte : https://netflix-help.click/track

Attention : sans confirmation sous 24h, votre compte sera définitivement fermé.

Service Client Netflix",Netflix Service,info@mail.ru,,pass,none,pass,facture.zip,0,31,1,account,1
Demande de changement de mot de passe,"Cher utilisateur,

Nous avons détecté une connexion inhabituelle à votre compte. Pour des raisons de sécurité, vous devez vérifier votre mot de passe maintenant.

Cliquez ici pour réinitialiser : https://google-login.com/track

Si vous n'agissez pas sous 48h, votre compte sera verrouillé.

L'équipe de sécurité Google",Google Service,no-reply@id316.cf,contact@support-8.info,none,fail,none,,1,1,1,reset,1
Merci pour votre achat,"Bonjour Anna,

Nous vous confirmons votre commande n°826-5584326 d'un montant de 12,99€. Votre paiement a bien été reçu.

Consultez le détail de votre commande dans votre espace client : https://spotify.com/settings

Merci de votre confiance,
Spotify",Spotify,contact@spotify.com,,pass,pass,none,compte-rendu.docx,1,1,0,receipt,0
Rappel : paiement de votre abonnement,"Madame, Monsieur,
Nous n'avons pas pu prélever votre abonnement de 9,99€ ce mois-ci. Merci de vérifier votre moyen de paiement pour éviter une interruption de service.
Mettez à jour vos informations dans votre espace client : https://netflix.com/account/billing
Merci,
Netflix",Netflix,no-reply@netflix.com,,pass,pass,pass,,1,1,0,legit_invoice,0
Virement à traiter aujourd'hui,"Bоnjour, 

Je suis аctuellement en réunion et je ne peux pas être dérangé. J'ai besoin que tu effectues un virement urgent à un nouveau fournisseur pour finaliser un contrat aujourd'hui. C'est strictement confidentiel pour l'instant.

Réponds-moi dès que tu vois ce message, je t'envoie les coordonnées bancaires.

Merci,
Michael Leroy
Directeur Général - Acme",Michael Leroy,service@gmail.com,,none,pass,fail,,0,1,1,ceo,1
Confirmez votre identité immédiatement,"Cher client,

Nous avons temporairement limité votre compte suite à une activité inhabituelle. Pour rétablir l'accès complet, confirmez vos informations.

Vérifiez votre compte : https://amaz0n.site/track

Attention : sans confirmation sous 24h, votre compte sera définitivement fermé.

Service Client Amazon",Amazon Service,no-reply@account208.support,,none,pass,none,,1,1,1,account,1
